Keywords,Tags,Search regions,Volume,2026-02-27,2025-08-15,2025-08-01,2025-07-26,2025-07-15,2025-07-01,2025-06-26,2025-06-15,2025-06-01,2025-05-26,2025-05-15,2025-05-01,2025-04-26,2025-04-15,2025-04-01,2025-03-26,2025-03-15,2025-03-01,2025-02-26,2025-02-15,2025-02-01,2025-01-26,2025-01-15,2025-01-01,2024-12-26,2024-12-15,2024-12-01,2024-11-26,2024-11-15,2024-11-08,2024-11-01,2024-10-26,2024-10-21,2024-08-01,2024-07-26,2024-07-15,2024-07-08,2024-07-01,2024-06-26,2024-06-15,2024-06-04,2024-06-01,2024-05-26,2024-05-23,2024-05-15,2024-05-01,2024-04-26,2024-04-15,2024-04-09,2024-04-01,2024-03-26,2024-03-15,2024-03-14,2024-03-07,2024-03-01,2024-02-01,2024-01-23,2024-01-16,2024-01-12,2024-01-11,2024-01-10,2024-01-02,2024-01-01,URL in SERP,Expected URL
304 ss electropolished cleanroom table,tables,"google organic [desktop], United States (USA), (English)",0,2,2,2,2,3,2,2,2,3,3,5,3,3,4,3,3,3,3,4,4,3,2,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,n/a,3,3,n/a,3,5,5,6,4,7,8,7,n/a,n/a,8,7,n/a,n/a,n/a,n/a,n/a,7,7,https://www.terrauniversal.com/table-cleanroom-304-stainless-steel-solid-top-h-frame-intermetro-1305-14.html,
316 stainless steel cleanroom workbench,tables,"google organic [desktop], United States (USA), (English)",0,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,2,2,2,2,1,1,1,2,2,2,2,1,3,3,2,2,4,3,3,3,2,n/a,2,2,n/a,3,4,4,3,4,3,4,3,n/a,n/a,3,3,n/a,n/a,n/a,n/a,n/a,4,3,https://www.terrauniversal.com/work-station-biosafe-ultra-clean-304-stainless-steel-heavy-duty-solid-top-a-base-9605-33.html,
5 liter liquid nitrogen dewar,nitrogen-systems,"google organic [desktop], United States (USA), (English)",10,7,11,13,11,-,25,-,-,-,-,20,28,23,21,-,23,20,33,25,12,15,-,20,17,18,-,-,-,24,45,30,31,30,7,8,8,9,8,9,9,n/a,9,13,n/a,11,10,9,8,9,7,10,9,n/a,n/a,10,8,n/a,n/a,9,n/a,n/a,9,8,https://www.terrauniversal.com/tw-5ld-liquid-nitrogen-dewar-ic-biomedical.html,
about laminar air flow,hoods-lafw,"google organic [desktop], United States (USA), (English)",10,40,10,10,10,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,19,-,-,17,46,16,17,16,22,23,22,22,28,29,26,25,23,23,24,n/a,24,33,n/a,33,33,33,30,38,29,30,23,n/a,n/a,25,27,n/a,n/a,n/a,n/a,n/a,23,30,https://www.terrauniversal.com/blog/horizontal-vs-vertical-laminar-flow-hoods,
acph for clean room,cleanroom hvac,"google organic [desktop], United States (USA), (English)",30,59,63,68,70,81,67,84,69,69,87,70,44,38,31,40,37,39,39,45,39,39,41,23,40,37,36,35,34,34,36,35,32,31,30,-,20,16,16,16,15,n/a,17,15,n/a,58,23,57,21,21,19,20,19,n/a,n/a,29,26,n/a,n/a,n/a,n/a,n/a,19,26,https://www.terrauniversal.com/blog/what-is-a-clean-room-ISO-14644-1,
acrylic chamber,desiccators,"google organic [desktop], United States (USA), (English)",40,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,1,1,1,3,3,2,1,4,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,2,2,https://www.terrauniversal.com/acrylic-vacuum-chambers.html,
acrylic desiccator,desiccators,"google organic [desktop], United States (USA), (English)",10,6,7,8,3,3,3,4,3,4,7,11,9,8,8,7,6,10,8,13,13,15,14,18,17,14,14,9,10,13,11,9,12,9,10,-,14,13,13,15,11,n/a,21,17,n/a,14,12,10,11,11,11,11,13,n/a,n/a,12,18,n/a,n/a,n/a,n/a,n/a,19,16,https://www.terrauniversal.com/acrylic-vacuum-desiccator-cabinets.html,
acrylic desiccator box,desiccators,"google organic [desktop], United States (USA), (English)",0,10,5,6,7,10,11,10,9,10,13,14,12,10,11,9,16,9,10,16,19,18,19,13,17,16,20,17,16,12,14,10,17,13,3,8,11,9,11,8,11,n/a,11,11,n/a,9,6,6,9,7,9,9,12,n/a,n/a,11,11,n/a,n/a,n/a,n/a,n/a,13,13,https://www.terrauniversal.com/acrylic-vacuum-desiccator-cabinets.html,
acrylic desiccator cabinet,desiccators,"google organic [desktop], United States (USA), (English)",30,4,10,5,6,10,10,10,6,9,12,14,7,13,20,11,13,12,11,14,16,21,21,28,22,30,16,28,16,26,18,32,30,14,13,21,19,9,14,13,11,n/a,17,18,n/a,12,12,42,34,12,14,12,14,n/a,n/a,15,15,n/a,n/a,n/a,n/a,n/a,43,14,https://www.terrauniversal.com/acrylic-vacuum-desiccator-cabinets.html,
acrylic desiccator cabinets,desiccators,"google organic [desktop], United States (USA), (English)",30,4,38,18,7,15,24,5,9,6,15,26,32,27,33,29,27,10,29,39,21,35,32,17,39,19,17,17,15,12,13,8,18,20,18,39,28,20,22,22,22,n/a,37,39,n/a,36,38,53,53,50,37,36,30,n/a,n/a,16,14,n/a,n/a,n/a,n/a,n/a,14,14,https://www.terrauniversal.com/acrylic-vacuum-desiccator-cabinets.html,
acrylic desiccator dry cabinet,desiccators,"google organic [desktop], United States (USA), (English)",0,6,5,5,5,5,5,5,5,5,6,6,6,6,9,14,15,7,10,11,12,13,12,15,12,12,13,10,14,16,25,19,30,29,9,6,11,10,8,9,10,n/a,9,10,n/a,8,6,8,8,7,7,7,12,n/a,n/a,12,14,n/a,n/a,n/a,n/a,n/a,10,10,https://www.terrauniversal.com/desiccators-and-desiccator-cabinets.php,
acrylic desiccators,desiccators,"google organic [desktop], United States (USA), (English)",10,2,2,2,2,2,3,3,4,4,4,13,11,11,12,11,11,10,11,14,13,16,19,15,18,17,16,24,15,16,14,16,17,18,33,34,24,25,22,24,23,n/a,25,37,n/a,39,37,37,36,36,34,17,16,n/a,n/a,30,30,n/a,n/a,n/a,n/a,n/a,31,31,https://www.terrauniversal.com/acrylic-vacuum-desiccator-cabinets.html,
acrylic pass through chamber,passthroughs,"google organic [desktop], United States (USA), (English)",0,2,3,2,4,3,3,3,3,3,3,4,4,4,4,4,3,4,5,5,3,4,4,3,3,3,2,3,3,3,4,2,4,4,3,3,4,4,3,3,3,n/a,3,3,n/a,3,3,3,3,3,3,3,3,n/a,n/a,4,3,n/a,n/a,n/a,n/a,n/a,3,3,https://www.terrauniversal.com/general-use-pass-through-chambers.html,
acrylic vacuum chamber,desiccator vacuum,"google organic [desktop], United States (USA), (English)",480,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,5,3,1,n/a,1,1,n/a,2,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,2,1,https://www.terrauniversal.com/acrylic-vacuum-chambers.html,
acrylic vacuum desiccator,desiccator vacuum,"google organic [desktop], United States (USA), (English)",0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,3,3,3,2,1,3,3,1,1,3,1,1,1,1,1,1,1,n/a,1,1,n/a,-,1,2,2,1,1,1,1,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,3,3,https://www.terrauniversal.com/acrylic-vacuum-desiccator-cabinets.html,
ahu design for clean room,cleanroom hvac,"google organic [desktop], United States (USA), (English)",10,90,10,5,5,6,6,6,5,4,5,4,5,6,5,3,3,5,4,5,3,5,3,8,5,5,4,5,4,5,5,8,4,4,4,4,4,4,5,4,9,n/a,3,3,n/a,4,4,4,4,7,4,5,4,n/a,n/a,5,3,n/a,n/a,n/a,n/a,n/a,3,3,https://www.terrauniversal.com/blog/clean-room-hvac-design-best-practices-common-mistakes,
air conditioning for a clean room,cleanroom hvac,"google organic [desktop], United States (USA), (English)",10,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,n/a,2,2,n/a,2,2,2,2,2,2,2,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,5,4,https://www.terrauniversal.com/air-conditioner-for-cleanroom-ffu-6600-14.html,
air shower clean room,air showers,"google organic [desktop], United States (USA), (English)",260,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,3,3,3,3,4,3,4,4,4,4,3,4,3,4,2,3,4,3,4,4,4,n/a,4,4,n/a,4,4,4,4,4,4,4,3,n/a,n/a,4,2,n/a,n/a,n/a,n/a,n/a,5,4,https://www.terrauniversal.com/air-showers.php,
air shower clean room price,air showers,"google organic [desktop], United States (USA), (English)",10,8,4,3,3,3,3,2,3,3,5,3,4,5,4,4,4,4,3,3,3,3,3,4,3,3,3,3,2,2,2,1,2,2,2,3,2,2,2,2,2,n/a,3,4,n/a,3,4,4,5,5,5,5,4,n/a,n/a,4,4,n/a,n/a,n/a,n/a,n/a,4,4,https://www.terrauniversal.com/stainless-steel-air-shower-with-email-alert-6010-00d.html,
air showers for clean rooms,air showers,"google organic [desktop], United States (USA), (English)",170,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,2,3,3,3,5,4,3,3,3,3,3,3,3,2,2,2,2,3,2,2,n/a,2,2,n/a,2,4,4,4,4,2,2,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,3,3,https://www.terrauniversal.com/air-showers.php,
aluminum clean room panels,cleanroom,"google organic [desktop], United States (USA), (English)",0,5,10,9,9,9,15,26,13,28,29,16,31,19,24,21,23,23,22,33,28,29,30,25,19,24,27,37,34,35,36,38,37,33,30,28,34,36,41,41,40,n/a,35,35,n/a,26,30,26,30,28,30,28,18,n/a,n/a,38,53,n/a,n/a,n/a,n/a,n/a,55,55,https://www.terrauniversal.com/hardwall-cleanrooms.php,
aluminum clean room wall panels,cleanroom,"google organic [desktop], United States (USA), (English)",10,7,8,8,12,26,9,28,28,29,30,27,15,16,17,23,23,20,22,18,26,26,29,30,35,35,34,34,33,35,31,34,35,36,16,16,16,22,21,32,21,n/a,35,30,n/a,34,28,26,30,24,30,30,11,n/a,n/a,13,11,n/a,n/a,n/a,n/a,n/a,16,16,https://www.terrauniversal.com/biosafe-wall-panels.html,
aluminum vacuum chamber,desiccator vacuum,"google organic [desktop], United States (USA), (English)",40,7,7,8,6,5,5,6,6,5,5,5,7,5,13,6,12,6,4,5,5,4,3,4,3,3,1,6,8,8,6,5,7,10,1,1,2,2,3,1,3,n/a,4,5,n/a,5,2,3,2,2,2,2,2,n/a,n/a,3,3,n/a,n/a,n/a,n/a,n/a,2,2,https://www.terrauniversal.com/vacuum-chamber-free-standing-aluminum-1590-60.html,
anti vibration clean room table,tables,"google organic [desktop], United States (USA), (English)",0,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,n/a,2,2,n/a,2,2,2,2,2,2,1,1,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,1,1,https://www.terrauniversal.com/vibration-isolation-workstations.php,
anti vibration cleanroom table,tables,"google organic [desktop], United States (USA), (English)",0,1,1,1,2,2,3,2,2,2,2,2,2,1,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,1,2,1,2,2,2,3,3,2,n/a,2,2,n/a,1,1,2,1,1,2,2,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,1,2,https://www.terrauniversal.com/vibration-isolation-workstations.php,
anti vibration table,tables,"google organic [desktop], United States (USA), (English)",320,5,3,3,2,1,2,1,1,1,2,1,2,2,4,2,2,2,1,1,2,3,4,3,2,3,4,5,5,5,5,7,7,7,5,5,6,7,5,7,7,n/a,6,7,n/a,7,6,6,3,3,4,4,4,n/a,n/a,4,7,n/a,n/a,n/a,n/a,n/a,7,6,https://www.terrauniversal.com/vibration-isolation-workstations.php,
anti vibration workbench,tables,"google organic [desktop], United States (USA), (English)",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,4,4,3,3,3,n/a,4,3,n/a,3,3,3,3,3,3,3,3,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,2,2,https://www.terrauniversal.com/vibration-isolation-workstations.php,
anti vibration workstation,tables,"google organic [desktop], United States (USA), (English)",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,https://www.terrauniversal.com/vibration-isolation-workstations.php,
aseptic isolator,gloveboxes,"google organic [desktop], United States (USA), (English)",70,16,23,47,59,54,62,66,65,51,51,38,43,20,38,28,28,27,21,35,18,25,28,22,22,23,28,21,22,13,15,10,11,8,11,13,18,19,21,8,9,n/a,17,21,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/compounding-aseptic-isolator-versaflow-304-stainless-steel-3-glove-ports-germfree-5607-20.html,
aseptic isolators,gloveboxes,"google organic [desktop], United States (USA), (English)",70,29,24,30,25,53,23,22,21,29,27,28,38,23,22,17,15,21,20,25,16,24,18,28,25,-,14,9,11,10,7,5,7,9,7,8,9,7,6,6,6,n/a,12,7,n/a,3,6,6,7,7,8,8,9,n/a,n/a,9,10,n/a,n/a,n/a,n/a,n/a,11,10,https://www.terrauniversal.com/compounding-aseptic-isolator-versaflow-304-stainless-steel-3-glove-ports-germfree-5607-20.html,
automatic clean room hand dryer,sinks-dryers-receptacles,"google organic [desktop], United States (USA), (English)",0,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,4,4,4,4,3,1,2,2,2,2,5,6,2,n/a,2,2,n/a,2,2,2,2,2,2,2,2,n/a,n/a,2,1,n/a,n/a,n/a,n/a,n/a,2,2,https://www.terrauniversal.com/puredry-cleanroom-hand-and-glove-dryers.html,
automatic clean room hand dryers,sinks-dryers-receptacles,"google organic [desktop], United States (USA), (English)",0,2,4,2,3,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,3,3,3,4,3,4,3,4,3,4,3,2,2,2,2,4,5,5,5,6,5,n/a,4,5,n/a,2,2,2,3,3,3,3,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,2,2,https://www.terrauniversal.com/puredry-cleanroom-hand-and-glove-dryers.html,
automatic clean room hand wash dryer,sinks-dryers-receptacles,"google organic [desktop], United States (USA), (English)",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,https://www.terrauniversal.com/hand-washers-and-dryers.php,
automatic cleanroom hand dryer,sinks-dryers-receptacles,"google organic [desktop], United States (USA), (English)",0,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,2,2,3,2,3,4,3,5,3,n/a,3,2,n/a,3,3,3,3,3,4,2,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,2,2,https://www.terrauniversal.com/puredry-cleanroom-hand-and-glove-dryers.html,
automatic cleanroom hand dryers,sinks-dryers-receptacles,"google organic [desktop], United States (USA), (English)",0,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,4,4,4,4,4,3,3,2,3,3,3,4,3,n/a,3,3,n/a,2,2,2,2,2,2,2,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,3,3,https://www.terrauniversal.com/puredry-cleanroom-hand-and-glove-dryers.html,
barrier isolator,gloveboxes,"google organic [desktop], United States (USA), (English)",70,18,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57,77,77,30,27,75,81,82,40,56,42,24,57,50,50,n/a,49,50,52,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/protector-filtered-barrier-isolators-labconco.html,
barrier isolator glove box,gloveboxes,"google organic [desktop], United States (USA), (English)",10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,https://www.terrauniversal.com/protector-filtered-barrier-isolators-labconco.html,
bel art desiccator,desiccators,"google organic [desktop], United States (USA), (English)",30,21,16,18,16,17,14,13,10,11,10,14,13,14,13,-,12,15,15,14,17,16,17,12,15,16,13,17,18,19,21,15,15,11,19,16,16,11,14,13,14,n/a,13,14,n/a,9,9,11,18,8,9,8,9,n/a,n/a,8,9,n/a,n/a,n/a,n/a,25,n/a,n/a,https://www.terrauniversal.com/vacuum-laboratory-desiccators-bel-art.html,
belart desiccator,desiccators,"google organic [desktop], United States (USA), (English)",30,24,14,16,14,14,14,14,14,16,16,20,20,19,19,20,18,-,18,22,21,23,22,15,15,15,18,15,14,16,14,12,12,9,11,10,14,13,15,8,8,n/a,10,9,n/a,8,9,9,8,8,8,9,7,n/a,n/a,7,8,n/a,n/a,n/a,n/a,n/a,27,27,https://www.terrauniversal.com/vacuum-laboratory-desiccators-bel-art.html,
bench cleanroom gowning rack,storage cleanroom,"google organic [desktop], United States (USA), (English)",0,1,2,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,n/a,1,2,n/a,2,2,2,2,2,2,2,2,n/a,n/a,2,2,n/a,n/a,n/a,n/a,n/a,2,2,https://www.terrauniversal.com/gowning-benches.php,
bench cleanroom work,tables,"google organic [desktop], United States (USA), (English)",0,4,4,4,5,4,4,4,4,4,5,4,4,5,7,4,4,4,5,6,6,4,5,3,6,6,7,6,6,7,7,7,7,7,7,7,6,7,6,4,6,n/a,7,7,n/a,5,5,5,7,6,7,7,5,n/a,n/a,5,4,n/a,n/a,n/a,n/a,n/a,6,6,https://www.terrauniversal.com/cleanroom-work-stations-and-tables.php,
bench top fume hood,hoods-fume,"google organic [desktop], United States (USA), (English)",50,11,10,5,3,2,2,10,8,18,25,16,48,16,25,23,25,8,35,21,36,39,36,10,6,6,43,57,21,38,16,17,17,15,28,37,54,36,54,50,42,n/a,40,29,n/a,63,45,48,47,45,50,50,55,n/a,n/a,54,58,n/a,n/a,n/a,n/a,39,41,n/a,https://www.terrauniversal.com/fume-and-exhaust-hoods.php,
bench top fume hoods,hoods-fume,"google organic [desktop], United States (USA), (English)",50,14,4,3,3,4,3,3,5,12,11,10,11,10,10,10,10,4,12,5,6,29,35,23,22,27,23,25,23,27,25,25,26,26,38,37,47,71,49,54,29,n/a,40,26,n/a,48,56,54,29,46,80,70,49,n/a,n/a,71,51,n/a,n/a,n/a,n/a,56,38,n/a,https://www.terrauniversal.com/fume-and-exhaust-hoods.php,
benchtop fume hood,hoods-fume,"google organic [desktop], United States (USA), (English)",50,14,6,3,5,2,2,2,4,12,11,6,11,13,13,9,11,4,4,4,7,7,5,6,18,14,13,15,25,15,10,15,16,41,48,62,41,39,43,31,34,n/a,38,38,n/a,16,16,16,36,14,13,18,50,n/a,n/a,46,42,n/a,n/a,n/a,n/a,47,33,n/a,https://www.terrauniversal.com/benchtop-ductless-fume-hoods.php,
best gloves for glove box,gloveboxes,"google organic [desktop], United States (USA), (English)",10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,2,n/a,n/a,n/a,n/a,n/a,1,1,https://www.terrauniversal.com/glovebox-gloves.php,
biosafe clean room table,tables,"google organic [desktop], United States (USA), (English)",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,https://www.terrauniversal.com/biosafe-cleanrooms.php,
biosafe cleanroom tables,tables,"google organic [desktop], United States (USA), (English)",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,n/a,1,1,n/a,1,1,1,1,1,1,1,1,n/a,n/a,1,1,n/a,n/a,n/a,n/a,n/a,1,1,https://www.terrauniversal.com/biosafe-cleanrooms.php,
buy clean room tables,tables,"google organic [desktop], United States (USA), (English)",0,4,4,3,3,4,3,3,3,4,4,4,4,4,3,4,3,5,5,6,4,6,4,5,5,6,6,6,6,6,6,6,6,6,5,6,5,6,6,5,6,n/a,6,6,n/a,6,5,5,3,5,5,5,4,n/a,n/a,4,4,n/a,n/a,n/a,n/a,n/a,3,3,https://www.terrauniversal.com/cleanroom-work-stations-and-tables.php,
buy cleanroom tables,tables,"google organic [desktop], United States (USA), (English)",0,5,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,4,5,5,4,5,5,5,6,5,6,6,7,7,6,6,6,6,5,6,5,6,6,6,6,n/a,6,6,n/a,5,7,7,7,7,7,7,4,n/a,n/a,5,5,n/a,n/a,n/a,n/a,n/a,4,4,https://www.terrauniversal.com/cleanroom-work-stations-and-tables.php,
